Temperature,Humidity,WindSpeed,Pressure,CloudCover,Visibility,DewPoint,UVIndex,WindDirection,Precipitation,FeelsLike,Rainfall
36,60,14,1003,99,9,17,3,184,0.55,39,Yes
23,94,29,1029,16,4,24,1,19,0.11,34,Yes
35,83,19,1017,49,2,10,9,95,0.97,36,Yes
37,48,2,1027,16,1,17,3,16,0.88,33,Yes
25,64,23,998,53,5,19,0,14,0.94,31,Yes
24,64,18,1027,42,9,16,3,253,0.16,30,No
29,58,2,1022,44,8,21,0,146,0.66,32,Yes
28,60,6,1002,87,4,17,7,226,0.34,39,Yes
23,59,20,997,47,6,18,6,39,0.34,25,No
26,92,6,1008,99,3,17,4,331,0.58,21,Yes
35,40,4,994,16,7,10,3,194,0.04,36,No
36,90,25,1019,0,1,22,4,145,0.99,34,No
30,74,20,1027,19,2,13,2,291,0.07,30,Yes
34,84,19,1012,59,6,18,4,107,0.66,32,No
29,87,13,1008,71,3,17,4,110,0.58,28,Yes
36,65,4,994,24,3,20,0,23,0.52,24,Yes
31,51,21,1017,74,9,10,0,271,0.15,23,No
20,70,3,1024,1,5,24,5,0,0.15,25,No
22,82,28,1028,16,4,22,6,295,0.55,35,No
33,82,25,1004,48,4,22,6,279,0.3,33,No
21,56,29,997,55,8,18,7,60,0.51,37,Yes
36,49,14,994,45,7,14,2,75,0.48,27,No
27,41,3,995,8,9,15,2,26,0.05,29,No
30,71,24,1014,16,9,18,3,313,0.93,25,No
22,44,9,1024,96,4,16,4,342,0.23,22,Yes
25,40,0,1006,30,1,14,6,219,0.79,35,Yes
26,83,16,990,78,8,15,1,282,0.51,26,Yes
24,85,29,1010,10,7,12,9,42,0.24,32,No
22,44,0,997,48,2,23,4,100,0.4,23,Yes
36,96,0,1025,54,2,12,6,271,0.1,24,No
23,98,20,1010,46,1,18,1,246,0.92,20,Yes
33,80,15,1019,77,5,24,8,289,0.89,26,Yes
23,49,28,1009,11,1,10,5,190,0.35,34,Yes
23,99,2,1017,24,6,14,1,32,0.3,25,Yes
36,55,0,1016,44,9,18,8,278,0.24,25,No
32,63,16,1027,97,6,20,6,176,0.22,25,Yes
34,54,3,1029,95,2,24,1,356,0.34,31,Yes
34,68,7,990,87,5,19,4,229,0.88,22,Yes
21,74,6,1024,33,8,11,0,320,0.39,25,Yes
23,70,6,990,51,9,22,5,69,0.81,28,No
27,98,17,1008,53,8,11,3,1,0.3,34,Yes
32,67,11,1014,11,5,21,8,228,0.46,37,Yes
30,87,13,995,30,1,10,4,15,0.08,30,Yes
29,72,9,1026,40,7,16,2,171,0.21,23,Yes
30,50,10,1015,53,9,11,5,179,0.52,32,No
35,71,28,1000,46,2,13,8,276,0.24,36,No
23,55,6,1006,69,3,23,7,156,0.9,20,Yes
35,76,3,1028,20,7,22,6,88,0.45,22,Yes
36,77,28,1025,1,7,21,6,84,0.57,30,Yes
28,81,16,1028,72,6,11,4,161,0.11,29,Yes
23,60,24,1012,93,4,22,8,217,0.3,30,Yes
30,79,6,1023,80,1,12,2,225,0.06,23,No
37,96,22,1013,46,8,24,6,312,0.41,22,Yes
28,58,28,1021,39,9,23,2,119,0.18,35,Yes
32,98,23,1023,56,5,14,8,212,0.25,26,No
23,70,7,994,53,5,10,5,254,0.16,27,Yes
34,94,20,1008,29,8,24,3,279,0.72,35,No
36,63,6,991,51,6,17,9,254,0.01,29,Yes
22,75,12,1005,34,8,11,9,331,0.63,21,Yes
39,91,14,1028,44,9,23,8,109,0.34,32,Yes
29,98,22,1015,60,7,12,3,203,0.53,22,Yes
34,97,4,1019,34,2,20,1,199,0.18,27,No
26,40,22,994,34,1,13,0,173,0.74,38,Yes
29,99,27,1015,67,6,14,1,39,0.2,33,Yes
33,82,13,992,97,2,11,4,75,0.16,25,Yes
24,94,23,1007,14,5,10,0,183,0.63,21,Yes
33,92,26,1002,38,1,17,9,11,0.54,27,Yes
36,57,20,1029,69,9,16,0,163,0.31,30,Yes
25,89,12,1014,57,4,23,2,82,0.41,35,No
24,83,1,1008,95,4,23,0,215,0.7,34,No
28,42,7,998,93,8,13,3,234,0.82,28,No
36,50,23,992,30,9,18,6,21,0.13,33,Yes
37,88,11,1016,31,2,17,3,77,0.97,22,Yes
20,77,4,994,41,7,23,5,244,0.63,31,No
37,94,17,1008,38,3,21,4,72,0.36,22,Yes
23,79,5,1027,0,4,21,4,87,0.94,33,Yes
26,60,16,1022,48,8,21,3,281,0.53,25,Yes
23,69,6,1015,50,5,16,5,9,0.33,30,Yes
26,48,11,1024,52,2,11,6,3,0.97,39,No
37,93,20,1011,82,1,23,8,137,0.93,30,Yes
26,69,4,1011,48,4,10,9,11,0.68,24,No
39,84,22,993,49,4,10,0,60,0.82,29,No
37,44,11,1024,46,6,18,3,3,0.4,20,No
37,84,24,1029,99,3,10,9,204,0.94,30,Yes
36,70,2,1014,91,4,15,2,346,0.64,39,Yes
29,65,20,994,87,9,16,7,110,0.42,37,No
29,60,18,1008,98,6,11,7,236,0.32,31,Yes
26,43,18,996,3,7,10,2,262,0.12,23,No
37,93,27,1027,94,3,16,3,346,0.21,23,Yes
24,82,11,993,38,7,22,5,105,0.53,39,Yes
35,48,17,1027,45,2,10,2,145,0.22,23,No
24,49,9,1024,59,3,20,4,244,0.37,33,Yes
23,84,26,1020,22,5,18,1,39,0.06,33,Yes
29,92,4,1006,50,4,20,5,296,0.27,22,Yes
31,74,16,1025,70,3,18,4,103,0.53,30,No
23,75,11,1013,76,2,21,3,175,0.84,31,Yes
25,84,23,992,54,7,20,9,88,0.21,32,Yes
28,52,10,1015,32,4,18,1,203,0.59,29,Yes
28,72,13,1014,5,9,24,1,76,0.4,31,Yes
25,70,11,1005,26,8,21,3,253,0.47,33,Yes
36,87,17,1012,57,6,11,0,243,0.05,36,Yes
34,87,20,992,68,1,23,6,46,0.74,36,Yes
27,64,26,992,6,9,23,6,91,0.58,28,Yes
32,89,11,1029,91,6,20,7,69,0.78,27,Yes
36,79,9,1028,63,3,15,2,22,0.7,29,No
25,87,28,993,83,3,18,4,141,0.51,24,Yes
24,56,29,1027,44,6,18,1,292,0.49,31,No
38,49,11,991,45,9,10,2,298,0.38,29,Yes
26,51,5,1014,11,3,11,4,224,0.8,34,Yes
26,79,16,1013,51,9,22,9,59,0.97,30,Yes
21,67,11,1023,90,2,16,0,35,0.16,37,Yes
25,86,29,995,24,2,15,9,66,0.74,35,Yes
34,95,22,992,71,7,17,5,158,0.62,23,No
29,62,0,1028,86,2,15,2,75,0.53,25,Yes
28,49,0,1026,40,1,15,9,163,0.15,30,Yes
21,90,11,1021,43,9,20,6,109,0.33,29,No
37,89,28,1006,10,9,23,9,332,0.69,39,Yes
37,94,17,1004,70,9,22,7,88,0.02,26,Yes
25,80,18,1022,98,3,16,0,305,0.42,28,No
20,73,7,1021,15,2,16,3,291,0.95,26,Yes
31,50,8,1011,30,4,15,7,94,0.77,32,Yes
29,58,16,1025,45,5,23,1,307,0.42,35,Yes
36,52,11,1003,82,2,17,8,23,0.35,36,Yes
34,62,12,990,58,5,11,5,74,0.14,29,Yes
37,47,3,1021,91,6,12,4,20,0.0,23,Yes
36,57,15,1014,70,7,21,9,238,0.62,21,No
22,87,25,1004,54,9,20,3,55,0.98,26,Yes
33,83,29,1019,59,3,13,7,298,0.32,26,Yes
22,91,24,1014,5,7,12,5,322,0.42,25,No
39,62,2,997,3,6,12,7,229,0.95,29,Yes
25,50,3,993,27,6,24,3,122,0.53,34,Yes
24,61,4,997,96,7,17,6,86,0.06,27,No
37,59,26,1008,96,5,21,1,194,0.35,27,No
36,95,26,999,99,6,12,4,359,0.46,38,Yes
20,55,2,1000,53,6,21,4,281,0.38,29,Yes
24,72,6,1008,12,3,23,0,44,0.56,38,Yes
33,57,8,1021,75,9,16,4,40,0.31,30,No
27,51,26,1016,87,7,18,1,240,0.65,33,Yes
22,54,22,1020,93,1,10,0,183,0.35,29,Yes
25,84,14,994,46,1,23,1,329,0.28,20,Yes
27,88,22,1012,43,7,19,0,220,0.67,22,No
39,93,21,1013,55,1,20,5,10,0.67,23,Yes
36,74,15,1028,58,2,20,1,359,0.67,34,No
33,99,25,1007,70,6,23,1,359,0.17,39,No
33,75,23,1029,59,5,21,0,267,0.23,22,Yes
26,67,0,1022,49,2,24,3,8,0.44,21,Yes
25,71,16,1023,50,5,12,4,276,0.27,33,Yes
33,70,9,1022,11,3,18,1,243,0.08,35,Yes
33,75,4,1005,82,7,18,2,12,0.68,20,Yes
36,81,29,1019,18,1,13,3,157,0.69,29,No
29,85,3,1012,1,9,20,0,249,0.82,24,Yes
33,78,12,993,81,7,17,2,0,0.96,26,No
23,49,8,1023,59,7,23,4,246,0.77,24,Yes
36,86,15,992,80,2,14,9,57,0.01,39,Yes
35,81,12,1000,39,5,17,6,39,0.47,38,No
28,95,16,1017,18,2,10,8,326,0.87,31,Yes
35,69,27,1002,70,6,12,6,277,0.29,22,No
31,77,19,1027,75,4,23,6,272,0.84,30,No
25,61,20,991,39,6,18,6,121,0.19,30,Yes
27,49,13,998,24,9,20,9,172,0.96,37,Yes
28,71,6,1014,34,3,13,6,33,0.3,24,No
22,90,16,1011,79,3,10,0,210,0.39,23,Yes
28,43,25,1029,9,7,18,4,21,0.57,31,No
36,84,12,1002,18,2,11,1,307,0.3,29,Yes
38,90,22,995,10,6,22,0,35,0.91,25,Yes
31,70,20,997,57,8,10,1,349,0.39,34,Yes
23,58,26,1027,4,3,17,8,67,0.96,38,Yes
